NEIGHBORHOOD,DATE,CURBSIDE RECYCLING (IN POUNDS),CURBSIDE GARBAGE (IN POUNDS),CURBSIDE RECYCLING RATE
ABBOTT McKINLEY,07/31/2018,49.18,256.09,16
ABBOTT McKINLEY,03/31/2018,35.12,182.03,16
ABBOTT McKINLEY,10/31/2018,46.98,243.91,16
ABBOTT McKINLEY,11/30/2018,42.04,216.08,16
ABBOTT McKINLEY,05/31/2018,43.48,232.49,16
ABBOTT McKINLEY,02/28/2018,34.48,161.14,18
ABBOTT McKINLEY,12/31/2017,38.32,157.58,20
ABBOTT McKINLEY,04/30/2018,47.98,245.51,16
ABBOTT McKINLEY,01/31/2018,55.74,229.20,20
ABBOTT McKINLEY,06/30/2018,42.73,239.86,15
ABBOTT McKINLEY,09/30/2018,38.17,207.61,16
ABBOTT McKINLEY,08/31/2018,37.63,212.79,15
ALBRIGHT,11/30/2018,25.68,100.40,20
ALBRIGHT,07/31/2018,18.60,76.54,20
ALBRIGHT,09/30/2018,20.99,87.63,19
ALBRIGHT,05/31/2018,24.55,106.97,19
ALBRIGHT,06/30/2018,27.33,108.78,20
ALBRIGHT,03/31/2018,22.61,71.84,24
ALBRIGHT,12/31/2017,34.42,74.51,32
ALBRIGHT,08/31/2018,26.39,117.63,18
ALBRIGHT,10/31/2018,20.13,98.66,17
ALBRIGHT,02/28/2018,20.48,65.70,24
ALBRIGHT,04/30/2018,20.37,78.91,21
ALBRIGHT,01/31/2018,22.19,70.88,24
ALLEN,02/28/2018,20.30,74.97,21
ALLEN,08/31/2018,27.52,115.57,19
ALLEN,04/30/2018,20.39,92.88,18
ALLEN,09/30/2018,19.93,90.04,18
ALLEN,07/31/2018,19.69,88.02,18
ALLEN,10/31/2018,26.25,103.30,20
ALLEN,05/31/2018,26.68,129.68,17
ALLEN,03/31/2018,20.02,73.81,21
ALLEN,12/31/2017,19.91,94.20,17
ALLEN,11/30/2018,19.97,91.64,18
ALLEN,06/30/2018,22.49,95.63,19
ALLEN,01/31/2018,24.36,96.49,20
BABCOCK,10/31/2018,22.83,151.39,13
BABCOCK,05/31/2018,16.77,134.23,11
BABCOCK,08/31/2018,18.49,132.92,12
BABCOCK,06/30/2018,21.38,137.07,13
BABCOCK,07/31/2018,21.56,154.36,12
BABCOCK,03/31/2018,16.35,111.00,13
BABCOCK,09/30/2018,21.20,121.27,15
BABCOCK,11/30/2018,18.98,128.54,13
BABCOCK,12/31/2017,16.72,97.11,15
BABCOCK,04/30/2018,22.64,151.58,13
BABCOCK,01/31/2018,23.53,157.03,13
BABCOCK,02/28/2018,14.49,98.60,13
BLACK ROCK,03/31/2018,36.09,215.92,14
BLACK ROCK,11/30/2018,40.74,242.67,14
BLACK ROCK,12/31/2017,44.95,241.15,16
BLACK ROCK,06/30/2018,41.31,257.07,14
BLACK ROCK,10/31/2018,30.88,203.86,13
BLACK ROCK,04/30/2018,33.20,196.29,14
BLACK ROCK,02/28/2018,28.33,169.94,14
BLACK ROCK,05/31/2018,32.33,196.61,14
BLACK ROCK,08/31/2018,41.00,258.83,14
BLACK ROCK,09/30/2018,30.79,200.21,13
BLACK ROCK,07/31/2018,31.61,246.39,11
BLACK ROCK,01/31/2018,28.09,159.17,15
BROADWAY FILLMORE,05/31/2018,32.70,264.57,11
