	recycling_rate	percent_male	percent_female	percent_under25	percent_25to44	percent_45to64	percent_senior	percent_vacant	percent_1unit	percent_2unit	percent_3to20unit	percent_20plusunit	percent_built_00to15	percent_built_70to99	percent_built_40to69	percent_built_before_40	percent_owner	percent_renter	percent_no_vehicle	percent_one_vehicle	percent_two_plus_vehicles	percent_families	percent_fam_w_kids	percent_married_w_kids	percent_singles_household	percent_foreign	percent_nohs	percent_hs	percent_assoc	percent_bachelors	percent_grads	percent_nonfamilies	percent_loners	percent_friends
recycling_rate	1.0	0.6223573702582671	-0.6223573702582671	-0.6094170998361748	0.738622644876335	0.23776827745655116	-0.266531540724466	-0.46504068469023035	0.07151464806313443	-0.42956548876935957	0.23751396964249216	0.2255324310210866	-0.10046703311550594	-0.13099767742967472	0.1385950567024882	0.01148493530147028	0.29298026654543113	-0.2929802665454312	-0.7416393467250565	0.0490991093806942	0.7467963386335995	-0.5308726715232098	-0.599422680339607	0.5769472523445939	0.18765652248453307	0.28971648614410844	-0.5574400149059665	-0.8408995744536071	-0.17879490694764955	0.893333714819622	0.7941724072439885	0.53087267152321	-0.6479320586172354	0.6479320586172357
percent_male	0.6223573702582671	1.0	-1.0	-0.31263353032515245	0.7825441761626605	-0.1167192763989015	-0.548570660787579	-0.3446122218802619	0.05808994500431242	-0.20573401053883897	0.09588994978115323	0.09688629555256506	-0.4307604915222366	-0.2866444317157262	0.11371607905898831	0.23619776733886527	0.20913839114326985	-0.20913839114326988	-0.6204536519244306	0.3481079666137568	0.4977107680548954	-0.4687491720959918	-0.5320660690762571	0.46096022033296874	0.13850197829405078	0.5297430745536502	-0.28899248817170003	-0.5520060190711102	-0.29050304176497344	0.5956731906068621	0.49995245064741106	0.46874917209599193	-0.6254768499269563	0.6254768499269564
percent_female	-0.6223573702582671	-1.0	1.0	0.31263353032515245	-0.7825441761626605	0.1167192763989015	0.548570660787579	0.3446122218802619	-0.05808994500431242	0.20573401053883897	-0.09588994978115323	-0.09688629555256506	0.4307604915222366	0.2866444317157262	-0.11371607905898831	-0.23619776733886527	-0.20913839114326985	0.20913839114326988	0.6204536519244306	-0.3481079666137568	-0.4977107680548954	0.4687491720959918	0.5320660690762571	-0.46096022033296874	-0.13850197829405078	-0.5297430745536502	0.28899248817170003	0.5520060190711102	0.29050304176497344	-0.5956731906068621	-0.49995245064741106	-0.46874917209599193	0.6254768499269563	-0.6254768499269564
percent_under25	-0.6094170998361748	-0.31263353032515245	0.31263353032515245	1.0	-0.5424344726609712	-0.7201653217868855	-0.30902054257202116	0.24957593891970842	-0.28300208231689067	0.439369808907728	-0.020937566216978634	-0.19097406229447392	-0.20157715085719854	-0.10125748120216405	-0.3794975137531414	0.41054596830517964	-0.4896910562709399	0.48969105627093984	0.5208338277985441	-0.0400297776687278	-0.52215923465601	0.4283695144326792	0.7364447983591161	-0.05660589110734763	-0.33535082748509787	0.18359957663102525	0.3982829878820884	0.49294483908401915	-0.10970920044141004	-0.5983304244863953	-0.4003554137914131	-0.4283695144326792	0.15011775278205503	-0.1501177527820554
percent_25to44	0.738622644876335	0.7825441761626605	-0.7825441761626605	-0.5424344726609712	1.0	-0.04165940019305917	-0.5382009582273727	-0.4035625101534621	-0.15518094623785256	-0.42472259815070573	0.4251891872218603	0.3094719447004528	-0.16686281662521707	-0.11260137933921208	-0.04746760435843494	0.1601700987522306	0.014599406168250284	-0.014599406168250291	-0.4942159016620246	0.1282418336086936	0.45812268674938145	-0.6736897232054686	-0.5911216295974707	0.39801528842777845	0.3730347413820327	0.3965338386906018	-0.3392069339167108	-0.7416807783797724	-0.2599440446525923	0.7494273233208103	0.6374563788530755	0.6736897232054684	-0.5193866209876841	0.5193866209876841
percent_45to64	0.23776827745655116	-0.1167192763989015	0.1167192763989015	-0.7201653217868855	-0.04165940019305917	1.0	0.4474848435826895	-0.1397908882992133	0.6039891927233814	-0.2544915255937089	-0.3052256450566862	-0.1059984307351495	0.20848444002521224	0.05062301024309378	0.650324536848224	-0.5822150948393529	0.6189431162735278	-0.6189431162735278	-0.2971409879021693	-0.18403683970219778	0.3835067327147556	0.08007337836583628	-0.3084305246347039	-0.020727433460668646	0.004929738660278124	-0.3816368879637708	-0.2002245624173485	-0.035732906113798396	0.44687029972661885	0.12457538599089214	-0.023918611320052685	-0.08007337836583633	0.16164263869106124	-0.16164263869106096
percent_senior	-0.266531540724466	-0.548570660787579	0.548570660787579	-0.30902054257202116	-0.5382009582273727	0.4474848435826895	1.0	0.31014665214170367	0.19400551289359708	0.10066779900496833	-0.34340461390616894	-0.0344296257531672	0.4399080516307835	0.3184597657378314	0.15814533675270268	-0.45992768393200706	0.2946097791406075	-0.29460977914060743	0.10030383015343988	0.047199041254977585	-0.1232813888062447	0.19574937854606275	-0.13602878786703193	-0.50642533673823	0.026934079839206284	-0.6050732492378779	-0.010593433449335493	0.29446529492684037	0.1884837689641568	-0.19588697265621807	-0.24412557930505108	-0.19574937854606278	0.39017786731454546	-0.39017786731454546
percent_vacant	-0.46504068469023035	-0.3446122218802619	0.3446122218802619	0.24957593891970842	-0.4035625101534621	-0.1397908882992133	0.31014665214170367	1.0	-0.30359363757728375	0.1392656474509994	-0.05086621842092794	0.22336654743043283	0.27145665452243345	0.21081869190762137	-0.44046709658607713	0.10553744121867832	-0.3158762752902622	0.3158762752902621	0.49816169369581453	0.16318422393702248	-0.5828032035921155	-0.14715460282643966	-0.03937623241603791	-0.5288692020679329	0.4394742466827446	-0.1849779700170352	0.4188457136154249	0.2665798837607616	-0.06946403646902755	-0.47780514823879777	-0.25011851996059564	0.14715460282643958	0.5776664762621715	-0.5776664762621714
percent_1unit	0.07151464806313443	0.05808994500431242	-0.05808994500431242	-0.28300208231689067	-0.15518094623785256	0.6039891927233814	0.19400551289359708	-0.30359363757728375	1.0	0.06327848728450443	-0.6673800807958129	-0.6173440529994193	-0.2658522464027731	-0.4272598488702308	0.6253742059859261	-0.11155274360328803	0.8351752539391113	-0.8351752539391111	-0.46427589961000276	-0.08554866087386148	0.515625945475053	0.41553415620351386	-0.047870850490828655	0.18186651846507149	-0.49878409497965576	-0.1758743623744786	-0.36086651254084756	0.23989898905936602	0.4573583667098946	0.012040117850733239	-0.141867877915738	-0.4155341562035136	-0.20634985380655838	0.20634985380655854
percent_2unit	-0.42956548876935957	-0.20573401053883897	0.20573401053883897	0.439369808907728	-0.42472259815070573	-0.2544915255937089	0.10066779900496833	0.1392656474509994	0.06327848728450443	1.0	-0.6354867183941166	-0.712921434781636	-0.4539604432144093	-0.3798816491724001	0.1365500095738196	0.2842476533634881	0.1326751450859343	-0.13267514508593434	0.11218400820123021	-0.016814955825682897	-0.10907910433533596	0.6108412345587813	0.44934081081636185	-0.08735050450187136	-0.5631080408533602	-0.08330274462822124	0.19918822100830275	0.5830520776915783	0.10101573664904978	-0.4204342248225487	-0.5583592994686747	-0.610841234558781	0.066111027236057	-0.06611102723605705
